month,gridmet_mean,nldas3_mean,gridmet_sd,nldas3_sd
1,40.93509751888231,47.86529552968555,15.958894858476201,17.832309639713703
2,85.62367520116008,90.52341708427326,27.143566717501944,27.47393374892446
3,149.63490075337222,154.87093363799647,35.22382986902092,38.0494096436496
4,226.50214157471905,217.92311014667726,32.37484257024464,36.75855190725878
5,371.44273820079275,370.46198772590316,30.244432740673247,38.91860708472115
6,465.38248810723354,471.6104526770001,23.991788906018915,34.42010447215582
7,529.9776905276226,548.9556467236465,17.631856165709674,25.732026173635415
8,514.1831868407289,541.177576992499,23.666724237864972,29.028826463620902
9,425.01862203891807,455.16051177228854,27.213050895867124,29.12505836713663
10,271.2707040598563,307.83352569475386,35.81961002883566,38.92125547697028
11,104.6807064844849,119.809758310707,28.772428849083724,32.21491460616921
12,63.5541240307805,70.36628898317628,22.016900110178128,25.34128993917499
